"Year"	"USFWBand"	"JayID"	"NatalNest"	"TerrYr.x"	"Terr"	"HatchDate"	"FldgDate"	"LastObsDate"	"Mass"	"MeasDate"	"HatchNum"	"FldgNum"	"Days"	"Years"	"Censor"	"Day11"	"Help"	"HelpNum"	"dadband"	"NestYear.x"	"TerrYr.y"	"dadid"	"dadexp"	"dadage"	"momband"	"NestYear.y"	"TerrYr"	"momid"	"momexp"	"momage"	"CountofJayID"	"NumTerr"	"Den"
"48"	"1984"	"1423-42827"	"SR-n"	"ROSE842"	"ROSE84"	"ROSE"	1984-04-16	5237	5240	55	1984-04-27	3	3	3	0.01	1	11	1	2	"1383-27178"	"1984"	"ROSE84"	"-BPS"	2	4	"1383-27154"	"1984"	"ROSE84"	"YG-S"	2	5	110	37	2.97297297297297
"49"	"1984"	"1423-42812"	"SP-G"	"SIXS841"	"SIXS84"	"SIXS"	1984-04-12	5236	5491	34.5	1984-04-23	4	4	255	0.7	1	11	0	0	"1383-27125"	"1984"	"SIXS84"	"L-SF"	2	6	"1423-42665"	"1984"	"SIXS84"	"R-AZ"	2	4	110	37	2.97297297297297
"50"	"1984"	"1423-42794"	"SP-O"	"EBAY842"	"EBAY84"	"EBAY"	1984-04-07	5231	5275	35	1984-04-18	4	4	44	0.12	1	11	0	0	"1053-56501"	"1984"	"EBAY84"	"-WGS"	1	4	"1383-27155"	"1984"	"EBAY84"	"AY-S"	2	5	110	37	2.97297297297297
"51"	"1984"	"1423-42795"	"SO-O"	"EBAY842"	"EBAY84"	"EBAY"	1984-04-07	5231	5369	38	1984-04-18	4	4	138	0.38	1	11	0	0	"1053-56501"	"1984"	"EBAY84"	"-WGS"	1	4	"1383-27155"	"1984"	"EBAY84"	"AY-S"	2	5	110	37	2.97297297297297
"52"	"1984"	"1423-42796"	"SL-n"	"EBAY842"	"EBAY84"	"EBAY"	1984-04-07	5231	5241	28	1984-04-18	4	4	10	0.03	1	11	0	0	"1053-56501"	"1984"	"EBAY84"	"-WGS"	1	4	"1383-27155"	"1984"	"EBAY84"	"AY-S"	2	5	110	37	2.97297297297297
"53"	"1984"	"1423-42844"	"SP-n"	"NWES841"	"NWES84"	"NWES"	1984-04-19	5241	5264	37.5	1984-04-30	3	3	23	0.06	1	11	1	2	"1383-27288"	"1984"	"NWES84"	"R-GZ"	2	4	"1433-93032"	"1984"	"NWES84"	"-OAS"	1	4	110	37	2.97297297297297
"54"	"1984"	"1423-42813"	"SO-G"	"SIXS841"	"SIXS84"	"SIXS"	1984-04-12	5236	5491	44.2	1984-04-23	4	4	255	0.7	1	11	0	0	"1383-27125"	"1984"	"SIXS84"	"L-SF"	2	6	"1423-42665"	"1984"	"SIXS84"	"R-AZ"	2	4	110	37	2.97297297297297
"55"	"1984"	"1423-42842"	"SY-n"	"NWES841"	"NWES84"	"NWES"	1984-04-19	5241	5264	42.8	1984-04-30	3	3	23	0.06	1	11	1	2	"1383-27288"	"1984"	"NWES84"	"R-GZ"	2	4	"1433-93032"	"1984"	"NWES84"	"-OAS"	1	4	110	37	2.97297297297297
"56"	"1984"	"1423-42843"	"SB-n"	"NWES841"	"NWES84"	"NWES"	1984-04-19	5241	5264	38	1984-04-30	3	3	23	0.06	1	11	1	2	"1383-27288"	"1984"	"NWES84"	"R-GZ"	2	4	"1433-93032"	"1984"	"NWES84"	"-OAS"	1	4	110	37	2.97297297297297
"57"	"1984"	"1423-42845"	"SO-L"	"FIRE841"	"FIRE84"	"FIRE"	1984-04-19	5240	6105	55.3	1984-04-30	3	3	865	2.37	0	11	0	0	"1383-27177"	"1984"	"FIRE84"	"-YAS"	2	4	"1383-27224"	"1984"	"FIRE84"	"WLS-"	1	3	110	37	2.97297297297297
"58"	"1984"	"1053-14499"	"SL-L"	"FIRE841"	"FIRE84"	"FIRE"	1984-04-19	5240	7441	53	1984-04-30	3	3	2201	6.03	0	11	0	0	"1383-27177"	"1984"	"FIRE84"	"-YAS"	2	4	"1383-27224"	"1984"	"FIRE84"	"WLS-"	1	3	110	37	2.97297297297297
"59"	"1985"	"1433-87437"	"BSA-"	"SPLT851"	"SPLT85"	"SPLT"	1985-04-08	5595	10145	41.4	1985-04-19	3	3	4550	12.46	0	11	0	0	"1433-92044"	"1985"	"SPLT85"	"RBS-"	1	4	"1423-42865"	"1985"	"SPLT85"	"Y-FZ"	1	3	109	35	3.11428571428571
"60"	"1985"	"1433-87455"	"RSF-"	"ARCT851"	"ARCT85"	"ARCT"	1985-04-20	5606	5888	48.3	1985-05-01	4	4	282	0.77	1	11	0	0	"1383-27251"	"1985"	"ARCT85"	"FFS="	2	4	"1383-27173"	"1985"	"ARCT85"	"-GPS"	3	5	109	35	3.11428571428571
"61"	"1985"	"1433-87445"	"GSL-"	"NWSX851"	"NWSX85"	"NWSX"	1985-04-18	5602	6438	40	1985-04-29	4	4	836	2.29	0	11	0	0	"1433-93030"	"1985"	"NWSX85"	"YFS-"	0	4	"1433-87447"	"1985"	"NWSX85"	"O-WZ"	0	2	109	35	3.11428571428571
"62"	"1985"	"1433-92911"	"ASO="	"SCOP852"	"SCOP85"	"SCOP"	1985-05-24	5639	6554	33.9	1985-06-04	1	1	915	2.51	0	11	1	3	"1423-42784"	"1985"	"SCOP85"	"S-PP"	0	2	"793-09828"	"1985"	"SCOP85"	"SGG-"	4	8	109	35	3.11428571428571
"63"	"1985"	"1433-87460"	"GSY="	"WSIX851"	"WSIX85"	"WSIX"	1985-04-20	5603	6313	55.6	1985-05-01	3	3	710	1.94	0	11	1	2	"1433-92953"	"1985"	"WSIX85"	"F-YZ"	2	3	"1433-87489"	"1985"	"WSIX85"	"O-RZ"	2	4	109	35	3.11428571428571
"64"	"1985"	"1433-87456"	"GSF-"	"ARCT851"	"ARCT85"	"ARCT"	1985-04-20	5606	6281	54.6	1985-05-01	4	4	675	1.85	0	11	0	0	"1383-27251"	"1985"	"ARCT85"	"FFS="	2	4	"1383-27173"	"1985"	"ARCT85"	"-GPS"	3	5	109	35	3.11428571428571
"65"	"1985"	"1433-87457"	"YSF-"	"ARCT851"	"ARCT85"	"ARCT"	1985-04-20	5606	7040	48.6	1985-05-01	4	4	1434	3.93	0	11	0	0	"1383-27251"	"1985"	"ARCT85"	"FFS="	2	4	"1383-27173"	"1985"	"ARCT85"	"-GPS"	3	5	109	35	3.11428571428571
