"USFWBand"	"JayID"	"NatalNest"	"TerrYr"	"Terr"	"Year"	"HatchDate"	"FldgDate"	"LastObsDate"	"Mass"	"MeasDate"	"HatchNum"	"FldgNum"	"Days"	"Years"	"Censor"	"Day11"	"Help"	"HelpNum"	"SexIND"	"FBreeder"	"FUSFWBand"	"MBreeder"	"MUSFWBand"	"famid"
"65"	"1043-44274"	"ZYn-"	"WCPR971"	"WCPR97"	"WCPR"	"1997"	1997-04-12	9982	9994	39.2	1997-04-23	3	3	12	0.03	1	11	1	1	3	"L-BM"	"1453-78235"	"-AWZ"	"1453-38937"	1
"66"	"1043-44275"	"ZBL-"	"WCPR971"	"WCPR97"	"WCPR"	"1997"	1997-04-12	9982	10043	34.7	1997-04-23	3	3	61	0.17	1	11	1	1	3	"L-BM"	"1453-78235"	"-AWZ"	"1453-38937"	1
"67"	"1043-44276"	"ZPn-"	"WCPR971"	"WCPR97"	"WCPR"	"1997"	1997-04-12	9982	9994	38	1997-04-23	3	3	12	0.03	1	11	1	1	3	"L-BM"	"1453-78235"	"-AWZ"	"1453-38937"	1
"68"	"1043-44277"	"ZOn-"	"WWSX971"	"WWSX97"	"WWSX"	"1997"	1997-04-12	9982	10009	53	1997-04-23	3	3	27	0.07	1	11	1	3	3	"BZ-W"	"1013-63312"	"ZF-B"	"1453-78056"	1
"69"	"1043-44279"	"ZFP-"	"WWSX971"	"WWSX97"	"WWSX"	"1997"	1997-04-12	9982	10117	53.8	1997-04-23	3	3	135	0.37	1	11	1	3	3	"BZ-W"	"1013-63312"	"ZF-B"	"1453-78056"	1
"70"	"1043-44281"	"ZPn-"	"BALD971"	"BALD97"	"BALD"	"1997"	1997-04-17	9985	9994	53.7	1997-04-28	2	2	9	0.02	1	11	1	2	3	"Y-AM"	"1453-78063"	"Z-PL"	"1453-63592"	1
"71"	"1043-44282"	"ZOB-"	"BALD971"	"BALD97"	"BALD"	"1997"	1997-04-17	9985	10240	56	1997-04-28	2	2	255	0.7	1	11	1	2	3	"Y-AM"	"1453-78063"	"Z-PL"	"1453-63592"	1
"72"	"1043-44286"	"ZYn-"	"JERE972"	"JERE97"	"JERE"	"1997"	1997-04-17	9987	9994	48.1	1997-04-28	4	4	7	0.02	1	11	1	3	3	"ZP-G"	"1453-72723"	"Z-WY"	"1513-50330"	1
"73"	"1043-44289"	"ZOW-"	"JERE972"	"JERE97"	"JERE"	"1997"	1997-04-17	9987	11211	34.4	1997-04-28	4	4	1224	3.35	0	11	1	3	1	"ZP-G"	"1453-72723"	"Z-WY"	"1513-50330"	1
"74"	"1043-44290"	"ZAR-"	"HELP971"	"HELP97"	"HELP"	"1997"	1997-04-18	9987	10302	44	1997-04-29	1	1	315	0.86	1	11	0	0	2	"F-LM"	"1043-44210"	"GZW-"	"1453-78124"	1
"75"	"1043-44293"	"ZAG-"	"DEER972"	"DEER97"	"DEER"	"1997"	1997-04-20	9990	11487	42.6	1997-05-01	2	2	1497	4.1	0	11	0	0	2	"SP-F"	"1453-78402"	"FZY-"	"1453-78136"	1
"76"	"1043-44298"	"ZBO-"	"SCOP973"	"SCOP97"	"SCOP"	"1997"	1997-04-23	9992	10208	51	1997-05-04	4	4	216	0.59	1	11	1	3	3	"BSA-"	"1433-87437"	"-RSA"	"1433-58370"	1
"77"	"1043-44299"	"ZPn-"	"SCOP973"	"SCOP97"	"SCOP"	"1997"	1997-04-23	9992	10042	55	1997-05-04	4	4	50	0.14	1	11	1	3	3	"BSA-"	"1433-87437"	"-RSA"	"1433-58370"	1
"78"	"1043-44300"	"ZOO-"	"SCOP973"	"SCOP97"	"SCOP"	"1997"	1997-04-23	9992	11879	46.5	1997-05-04	4	4	1887	5.17	0	11	1	3	1	"BSA-"	"1433-87437"	"-RSA"	"1433-58370"	1
"79"	"1043-80125"	"-SWO"	"SIBR881"	"SIBR88"	"SIBR"	"1988"	1988-04-08	6692	7958	48.4	1988-04-19	4	4	1266	3.47	0	11	1	1	1	"L-LZ"	"1433-92947"	"L-AZ"	"1433-92949"	5
