"TerrYr"	"USFWBand"	"JayID"	"NatalNest"	"TerrYr.x"	"Terr"	"Year"	"HatchDate"	"FldgDate"	"LastObsDate"	"Mass"	"MeasDate"	"HatchNum"	"FldgNum"	"Days"	"Years"	"Censor"	"Day11"	"Help"	"HelpNum"	"TerrYr.y"	"dadid"	"dadexp"	"momband"	"momexp"	"momage"	"scrb.count"	"tsf.count"	"stdscr"	"centscr"	"stdtsf"	"centtsf"	"stdsize"	"centsize"
"52"	"ANNI08"	"1603-51573"	"-CnY"	"ANNI081"	"ANNI08"	"ANNI"	"2008"	2008-04-11	13998	14053	42.8	2008-04-22	4	4	55	0.15	1	11	0	0	"ANNI08"	"CG-A"	2	"1603-16670"	1	4	3597	4038	1.0420909297952	526.539563862928	0.960358921469707	784.738940809969	0.722827181334335	-1232.6691588785
"53"	"ANNI08"	"1603-51571"	"-CBR"	"ANNI081"	"ANNI08"	"ANNI"	"2008"	2008-04-11	13998	16903	46.2	2008-04-22	4	4	2905	7.95	0	11	0	0	"ANNI08"	"CG-A"	2	"1603-16670"	1	4	3597	4038	1.0420909297952	526.539563862928	0.960358921469707	784.738940809969	0.722827181334335	-1232.6691588785
"54"	"ANNI14"	"1713-89730"	"Qn-W"	"ANNI143"	"ANNI14"	"ANNI"	"2014"	2014-05-17	16223	16225	33.7	2014-05-28	3	2	2	0.01	1	11	0	0	"ANNI14"	"-GRQ"	3	"1713-49704"	0	3	2823	6789	0.817854516211243	-247.460436137072	1.61463019263443	3535.73894080997	1.12391097994007	1330.3308411215
"55"	"ANNI14"	"1713-89731"	"Qn-R"	"ANNI143"	"ANNI14"	"ANNI"	"2014"	2014-05-17	16223	16225	37.5	2014-05-28	3	2	2	0.01	1	11	0	0	"ANNI14"	"-GRQ"	3	"1713-49704"	0	3	2823	6789	0.817854516211243	-247.460436137072	1.61463019263443	3535.73894080997	1.12391097994007	1330.3308411215
"56"	"ANNI82"	"1423-42631"	"LS-O"	"ANNI821"	"ANNI82"	"ANNI"	"1982"	1982-04-19	4509	4757	52.2	1982-04-30	3	3	248	0.68	1	11	1	2	"ANNI82"	"FSP-"	NA	"1013-32380"	NA	NA	3069	0	0.889123453861957	-1.46043613707161	0	-3253.26105919003	1.29949272868593	2452.3308411215
"57"	"ANNI82"	"1423-42633"	"YS-O"	"ANNI821"	"ANNI82"	"ANNI"	"1982"	1982-04-19	4509	5916	50.9	1982-04-30	3	3	1407	3.85	0	11	1	2	"ANNI82"	"FSP-"	NA	"1013-32380"	NA	NA	3069	0	0.889123453861957	-1.46043613707161	0	-3253.26105919003	1.29949272868593	2452.3308411215
"58"	"ANNI82"	"1423-42632"	"FS-O"	"ANNI821"	"ANNI82"	"ANNI"	"1982"	1982-04-19	4509	4918	48.1	1982-04-30	3	3	409	1.12	0	11	1	2	"ANNI82"	"FSP-"	NA	"1013-32380"	NA	NA	3069	0	0.889123453861957	-1.46043613707161	0	-3253.26105919003	1.29949272868593	2452.3308411215
"59"	"ANNI84"	"1423-42816"	"SW-n"	"ANNI841"	"ANNI84"	"ANNI"	"1984"	1984-04-12	5233	5275	46.5	1984-04-23	4	3	42	0.11	1	11	1	1	"ANNI84"	"FSP-"	NA	"1013-32380"	NA	NA	2443	0	0.707764287319896	-627.460436137072	0	-3253.26105919003	1.02391388773989	691.330841121496
"60"	"ANNI84"	"1423-42817"	"SR-n"	"ANNI841"	"ANNI84"	"ANNI"	"1984"	1984-04-12	5233	5241	43	1984-04-23	4	3	8	0.02	1	11	1	1	"ANNI84"	"FSP-"	NA	"1013-32380"	NA	NA	2443	0	0.707764287319896	-627.460436137072	0	-3253.26105919003	1.02391388773989	691.330841121496
"61"	"ANNI84"	"1423-42818"	"SG-n"	"ANNI841"	"ANNI84"	"ANNI"	"1984"	1984-04-12	5233	5241	48.3	1984-04-23	4	3	8	0.02	1	11	1	1	"ANNI84"	"FSP-"	NA	"1013-32380"	NA	NA	2443	0	0.707764287319896	-627.460436137072	0	-3253.26105919003	1.02391388773989	691.330841121496
"62"	"ANNI96"	"1453-78306"	"-FZP"	"ANNI961"	"ANNI96"	"ANNI"	"1996"	1996-04-18	9620	11365	49.3	1996-04-29	3	2	1745	4.78	0	11	0	0	"ANNI96"	"ZL-G"	0	"1453-78106"	0	2	2993	6049	0.867105408083688	-77.4604361370716	1.43863573946762	2795.73894080997	1.23001118105388	2008.3308411215
"63"	"ANNI96"	"1453-78305"	"-LZP"	"ANNI961"	"ANNI96"	"ANNI"	"1996"	1996-04-18	9620	11851	46.7	1996-04-29	3	2	2231	6.11	0	11	0	0	"ANNI96"	"ZL-G"	0	"1453-78106"	0	2	2993	6049	0.867105408083688	-77.4604361370716	1.43863573946762	2795.73894080997	1.23001118105388	2008.3308411215
"64"	"ANNI97"	"1043-44269"	"ZFO-"	"ANNI971"	"ANNI97"	"ANNI"	"1997"	1997-04-10	9979	10695	46.4	1997-04-21	3	3	716	1.96	0	11	1	1	"ANNI97"	"ZL-G"	1	"1453-78106"	1	3	3267	6222	0.946486257336922	196.539563862928	1.47978038865392	2968.73894080997	1.40809676935405	3146.3308411215
"65"	"ANNI97"	"1043-44270"	"ZAn-"	"ANNI971"	"ANNI97"	"ANNI"	"1997"	1997-04-10	9979	9994	40.6	1997-04-21	3	3	15	0.04	1	11	1	1	"ANNI97"	"ZL-G"	1	"1453-78106"	1	3	3267	6222	0.946486257336922	196.539563862928	1.47978038865392	2968.73894080997	1.40809676935405	3146.3308411215
"66"	"ANNI97"	"1043-44268"	"ZLn-"	"ANNI971"	"ANNI97"	"ANNI"	"1997"	1997-04-10	9979	9984	46.8	1997-04-21	3	3	5	0.01	1	11	1	1	"ANNI97"	"ZL-G"	1	"1453-78106"	1	3	3267	6222	0.946486257336922	196.539563862928	1.47978038865392	2968.73894080997	1.40809676935405	3146.3308411215
"67"	"ANNI99"	"1513-50121"	"OR-C"	"ANNI991"	"ANNI99"	"ANNI"	"1999"	1999-03-26	10694	11423	41.5	1999-04-06	3	3	729	2	0	11	1	1	"ANNI99"	"ZL-G"	3	"1453-78106"	3	5	3756	3636	1.08815499925237	685.539563862928	0.864751123938548	382.738940809969	1.61497651252876	4468.3308411215
"68"	"ANNI99"	"1513-50120"	"PR-C"	"ANNI991"	"ANNI99"	"ANNI"	"1999"	1999-03-26	10694	11155	42.3	1999-04-06	3	3	461	1.26	0	11	1	1	"ANNI99"	"ZL-G"	3	"1453-78106"	3	5	3756	3636	1.08815499925237	685.539563862928	0.864751123938548	382.738940809969	1.61497651252876	4468.3308411215
"69"	"ANYR83"	"1423-42698"	"S-Gn"	"ANYR831"	"ANYR83"	"ANYR"	"1983"	1983-04-17	4875	4877	42.1	1983-04-28	4	4	2	0.01	1	11	1	4	"ANYR83"	"SYR-"	1	"1383-27280"	1	4	931	0	0.2697210607838	-2139.46043613707	0	-3253.26105919003	0.406717437602931	-3252.6691588785
"70"	"ANYR83"	"1423-42701"	"S-Pn"	"ANYR831"	"ANYR83"	"ANYR"	"1983"	1983-04-17	4875	4877	38.6	1983-04-28	4	4	2	0.01	1	11	1	4	"ANYR83"	"SYR-"	1	"1383-27280"	1	4	931	0	0.2697210607838	-2139.46043613707	0	-3253.26105919003	0.406717437602931	-3252.6691588785
"71"	"ANYR83"	"1423-42700"	"S-Bn"	"ANYR831"	"ANYR83"	"ANYR"	"1983"	1983-04-17	4875	4918	42.3	1983-04-28	4	4	43	0.12	1	11	1	4	"ANYR83"	"SYR-"	1	"1383-27280"	1	4	931	0	0.2697210607838	-2139.46043613707	0	-3253.26105919003	0.406717437602931	-3252.6691588785
"72"	"ARCT82"	"1423-42646"	"BS-L"	"ARCT821"	"ARCT82"	"ARCT"	"1982"	1982-05-03	4522	4574	43.7	1982-05-14	2	2	52	0.14	1	11	1	3	"ARCT82"	"W-WZ"	NA	"1383-27173"	0	2	2400	980	0.695306708787454	-670.460436137072	0.233073735274966	-2273.26105919003	0.47244322590352	-2832.6691588785
